,gt_covid_symptoms,gt_loss_of_smell,gt_loss_of_taste,gt_fever,gt_cough,gt_pcr_test,gt_pcr_take,gt_antigen_test,gt_hospitalization,gt_hospital,gt_vaccine,gt_vaccination,gt_self_isolation,gt_lockdown,gt_qr_code
2021-08-08,4.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2021-08-09,4.077922077922078,0.0,0.0,0.0,0.0,31.974025974025974,4.077922077922078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.584415584415584
2021-08-10,4.155844155844156,0.0,0.0,0.0,0.0,31.948051948051948,4.155844155844156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.168831168831169
2021-08-11,4.233766233766234,0.0,0.0,0.0,0.0,31.92207792207792,4.233766233766234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.753246753246753
2021-08-12,4.311688311688312,0.0,0.0,0.0,0.0,31.896103896103895,4.311688311688312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.337662337662339
2021-08-13,4.3896103896103895,0.0,0.0,0.0,0.0,31.87012987012987,4.3896103896103895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.922077922077923
2021-08-14,4.467532467532468,0.0,0.0,0.0,0.0,31.844155844155843,4.467532467532468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.506493506493507
2021-08-15,4.545454545454546,0.0,0.0,0.0,0.0,31.818181818181817,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092
2021-08-16,4.576376004947434,0.0,0.0,0.0,0.0,32.03463203463203,4.576376004947434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.152752009894868
2021-08-17,4.607297464440322,0.0,0.0,0.0,0.0,32.25108225108225,4.607297464440322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.214594928880643
2021-08-18,4.63821892393321,0.0,0.0,0.0,0.0,32.467532467532465,4.63821892393321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27643784786642
